osm_id,osm_type,name,phone,email,website,street,city,state,postcode,category,lat,lon,strategy,primary_flaw,flaw_count,score,grade,report_json,demo_url
5626838824,node,Home2 Suites,+1-407-839-3331,,https://www.hilton.com/en/hotels/mconmht-home2-suites-orlando-downtown/,North Magnolia Avenue,Orlando,Florida,32801,tourism=hotel,28.5478637,-81.376542,website_upgrade,protected_asset,0,70,C,"{""score"": 70, ""grade"": ""C"", ""is_protected"": true, ""error"": null, ""checks"": [], ""flaw_count"": 0, ""primary_flaw"": ""protected_asset""}",https://demo-site-beige-eight.vercel.app/?biz=Home2+Suites&city=Orlando&cat=tourism%3Dhotel&phone=%2B1-407-839-3331&report=eyJzY29yZSI6IDcwLCAiZ3JhZGUiOiAiQyIsICJpc3N1ZXMiOiBbXX0%3D
8668480899,node,SpringHill Suites,+1 407-960-4624,,https://www.marriott.com/mcows,North Orlando Avenue,Winter Park,Florida,32789,tourism=hotel,28.608779,-81.3655519,website_upgrade,protected_asset,0,70,C,"{""score"": 70, ""grade"": ""C"", ""is_protected"": true, ""error"": null, ""checks"": [], ""flaw_count"": 0, ""primary_flaw"": ""protected_asset""}",https://demo-site-beige-eight.vercel.app/?biz=SpringHill+Suites&city=Winter+Park&cat=tourism%3Dhotel&phone=%2B1+407-960-4624&report=eyJzY29yZSI6IDcwLCAiZ3JhZGUiOiAiQyIsICJpc3N1ZXMiOiBbXX0%3D
11481468260,node,Hilton Garden Inn,+1 407-648-4171,,https://www.hilton.com/en/hotels/mconmht-home2-suites-orlando-downtown/,North Magnolia Avenue,Orlando,Florida,32801,tourism=hotel,28.5478106,-81.3765398,website_upgrade,protected_asset,0,70,C,"{""score"": 70, ""grade"": ""C"", ""is_protected"": true, ""error"": null, ""checks"": [], ""flaw_count"": 0, ""primary_flaw"": ""protected_asset""}",https://demo-site-beige-eight.vercel.app/?biz=Hilton+Garden+Inn&city=Orlando&cat=tourism%3Dhotel&phone=%2B1+407-648-4171&report=eyJzY29yZSI6IDcwLCAiZ3JhZGUiOiAiQyIsICJpc3N1ZXMiOiBbXX0%3D
11873838519,node,Days Inn,+1 407-386-3645,,https://www.wyndhamhotels.com/days-inn/orlando-florida/days-inn-and-suites-orlando-airport/overview,McCoy Road,Orlando,Florida,32809,tourism=hotel,28.4514594,-81.3568568,website_upgrade,Sluggish load time (1.9s),2,75,B,"{""score"": 75, ""grade"": ""B"", ""is_protected"": false, ""error"": null, ""checks"": [{""id"": ""ssl"", ""title"": ""Valid HTTPS"", ""status"": ""pass"", ""detail"": ""Site is served securely over HTTPS."", ""recommendation"": """"}, {""id"": ""speed"", ""title"": ""Sluggish load time (1.9s)"", ""status"": ""fail"", ""detail"": ""Server response is slower than the ~1s users expect."", ""recommendation"": ""Enable caching/CDN and compress assets to cut response time.""}, {""id"": ""mobile"", ""title"": ""Mobile responsive"", ""status"": ""pass"", ""detail"": ""Viewport meta tag is present."", ""recommendation"": """"}, {""id"": ""seo_title"", ""title"": ""Page title present"", ""status"": ""pass"", ""detail"": ""Title: \""Days Inn & Suites by Wyndham Orlando Airport | Orlando, FL H\"""", ""recommendation"": """"}, {""id"": ""seo_meta"", ""title"": ""Meta description present"", ""status"": ""pass"", ""detail"": ""Search snippet is controlled, not auto-generated."", ""recommendation"": """"}, {""id"": ""seo_h1"", ""title"": ""Primary heading (H1) present"", ""status"": ""pass"", ""detail"": ""Clear page hierarchy for SEO."", ""recommendation"": """"}, {""id"": ""favicon"", ""title"": ""Favicon present"", ""status"": ""pass"", ""detail"": ""Browser tab branding is set."", ""recommendation"": """"}, {""id"": ""social_tags"", ""title"": ""Missing social preview tags"", ""status"": ""fail"", ""detail"": ""No Open Graph tags \u2014 shared links show a blank/ugly preview."", ""recommendation"": ""Add og:title, og:description and og:image meta tags.""}], ""flaw_count"": 2, ""primary_flaw"": ""Sluggish load time (1.9s)""}",https://demo-site-beige-eight.vercel.app/?biz=Days+Inn&city=Orlando&cat=tourism%3Dhotel&phone=%2B1+407-386-3645&report=eyJzY29yZSI6IDc1LCAiZ3JhZGUiOiAiQiIsICJpc3N1ZXMiOiBbIlNsdWdnaXNoIGxvYWQgdGltZSAoMS45cykiLCAiTWlzc2luZyBzb2NpYWwgcHJldmlldyB0YWdzIl19
11873838522,node,Hilton Garden Inn,+1 407-996-9001,,https://www.hilton.com/en/hotels/mcomigi-hilton-garden-inn-orlando-i-4-millenia-blvd-mall/,Millenia Place Drive,Orlando,Florida,32839,tourism=hotel,28.4804617,-81.4440108,website_upgrade,protected_asset,0,70,C,"{""score"": 70, ""grade"": ""C"", ""is_protected"": true, ""error"": null, ""checks"": [], ""flaw_count"": 0, ""primary_flaw"": ""protected_asset""}",https://demo-site-beige-eight.vercel.app/?biz=Hilton+Garden+Inn&city=Orlando&cat=tourism%3Dhotel&phone=%2B1+407-996-9001&report=eyJzY29yZSI6IDcwLCAiZ3JhZGUiOiAiQyIsICJpc3N1ZXMiOiBbXX0%3D
11873838523,node,Residence Inn,+1 407-352-2700,,https://www.marriott.com/mcoyr,Millenia Lakes Boulevard,Orlando,Florida,32839,tourism=hotel,28.4844988,-81.434862,website_upgrade,protected_asset,0,70,C,"{""score"": 70, ""grade"": ""C"", ""is_protected"": true, ""error"": null, ""checks"": [], ""flaw_count"": 0, ""primary_flaw"": ""protected_asset""}",https://demo-site-beige-eight.vercel.app/?biz=Residence+Inn&city=Orlando&cat=tourism%3Dhotel&phone=%2B1+407-352-2700&report=eyJzY29yZSI6IDcwLCAiZ3JhZGUiOiAiQyIsICJpc3N1ZXMiOiBbXX0%3D
11873838524,node,Fairfield Inn & Suites,,,https://www.marriott.com/mcoms,Millennia Boulevard,Orlando,Florida,32839,tourism=hotel,28.4937104,-81.4197567,website_upgrade,protected_asset,0,70,C,"{""score"": 70, ""grade"": ""C"", ""is_protected"": true, ""error"": null, ""checks"": [], ""flaw_count"": 0, ""primary_flaw"": ""protected_asset""}",https://demo-site-beige-eight.vercel.app/?biz=Fairfield+Inn+%26+Suites&city=Orlando&cat=tourism%3Dhotel&phone=&report=eyJzY29yZSI6IDcwLCAiZ3JhZGUiOiAiQyIsICJpc3N1ZXMiOiBbXX0%3D
13377075036,node,The Delaney Hotel,+1-407-849-0805,info@staydh.com,https://staydh.com/,South Orange Avenue,Orlando,Florida,32806,tourism=hotel,28.5258737,-81.3762497,website_upgrade,Sluggish load time (1.5s),2,75,B,"{""score"": 75, ""grade"": ""B"", ""is_protected"": false, ""error"": null, ""checks"": [{""id"": ""ssl"", ""title"": ""Valid HTTPS"", ""status"": ""pass"", ""detail"": ""Site is served securely over HTTPS."", ""recommendation"": """"}, {""id"": ""speed"", ""title"": ""Sluggish load time (1.5s)"", ""status"": ""fail"", ""detail"": ""Server response is slower than the ~1s users expect."", ""recommendation"": ""Enable caching/CDN and compress assets to cut response time.""}, {""id"": ""mobile"", ""title"": ""Mobile responsive"", ""status"": ""pass"", ""detail"": ""Viewport meta tag is present."", ""recommendation"": """"}, {""id"": ""seo_title"", ""title"": ""Page title present"", ""status"": ""pass"", ""detail"": ""Title: \""The Best Boutique Hotel in Downtown Orlando, FL | The Delane\"""", ""recommendation"": """"}, {""id"": ""seo_meta"", ""title"": ""Meta description present"", ""status"": ""pass"", ""detail"": ""Search snippet is controlled, not auto-generated."", ""recommendation"": """"}, {""id"": ""seo_h1"", ""title"": ""Missing primary heading (H1)"", ""status"": ""fail"", ""detail"": ""No H1 \u2014 search engines can't tell what the page is about."", ""recommendation"": ""Add one clear, keyword-relevant H1 per page.""}, {""id"": ""favicon"", ""title"": ""Favicon present"", ""status"": ""pass"", ""detail"": ""Browser tab branding is set."", ""recommendation"": """"}, {""id"": ""social_tags"", ""title"": ""Social share tags present"", ""status"": ""pass"", ""detail"": ""Links preview correctly on social/chat apps."", ""recommendation"": """"}], ""flaw_count"": 2, ""primary_flaw"": ""Sluggish load time (1.5s)""}",https://demo-site-beige-eight.vercel.app/?biz=The+Delaney+Hotel&city=Orlando&cat=tourism%3Dhotel&phone=%2B1-407-849-0805&report=eyJzY29yZSI6IDc1LCAiZ3JhZGUiOiAiQiIsICJpc3N1ZXMiOiBbIlNsdWdnaXNoIGxvYWQgdGltZSAoMS41cykiLCAiTWlzc2luZyBwcmltYXJ5IGhlYWRpbmcgKEgxKSJdfQ%3D%3D
48962565,way,Best Western Plus Universal Inn,+1 407-226-9119,,https://www.bestwestern.com/en_US/book/hotels-in-orlando/best-western-plus-universal-inn/propertyCode.10285.html,Vineland Road,Orlando,Florida,32819-7827,tourism=hotel,28.4811642,-81.4567066,website_upgrade,protected_asset,0,70,C,"{""score"": 70, ""grade"": ""C"", ""is_protected"": true, ""error"": null, ""checks"": [], ""flaw_count"": 0, ""primary_flaw"": ""protected_asset""}",https://demo-site-beige-eight.vercel.app/?biz=Best+Western+Plus+Universal+Inn&city=Orlando&cat=tourism%3Dhotel&phone=%2B1+407-226-9119&report=eyJzY29yZSI6IDcwLCAiZ3JhZGUiOiAiQyIsICJpc3N1ZXMiOiBbXX0%3D
80861861,way,Embassy Suites by Hilton Orlando Downtown,,,https://www.hilton.com/en/hotels/mcodtes-embassy-suites-orlando-downtown/,East Pine Street,Orlando,Florida,32801,tourism=hotel,28.5417512,-81.3755161,website_upgrade,protected_asset,0,70,C,"{""score"": 70, ""grade"": ""C"", ""is_protected"": true, ""error"": null, ""checks"": [], ""flaw_count"": 0, ""primary_flaw"": ""protected_asset""}",https://demo-site-beige-eight.vercel.app/?biz=Embassy+Suites+by+Hilton+Orlando+Downtown&city=Orlando&cat=tourism%3Dhotel&phone=&report=eyJzY29yZSI6IDcwLCAiZ3JhZGUiOiAiQyIsICJpc3N1ZXMiOiBbXX0%3D
